timestamp,health,primary_ammo,primary_in_mag,secondary_ammo,secondary_in_mag,prev_health_3s,enemy_shown,action_took
1747323246.7800527,46,17,0,10,30,46,1,reload
1747323246.7800527,46,17,0,10,30,46,1,reload
1747323246.7800527,46,17,0,10,30,46,1,reload
1747323246.7800527,46,17,0,10,30,46,1,reload
1747323246.7800527,46,17,0,10,30,46,1,reload
1747323248.7832274,46,17,0,3,30,46,0,reload
1747323248.7832274,46,17,0,3,30,46,0,reload
1747323248.7832274,46,17,0,3,30,46,0,reload
1747323248.7832274,46,17,0,3,30,46,0,reload
1747323250.7862253,46,17,0,10,20,46,0,reload
1747323250.7862253,46,17,0,10,20,46,0,reload
1747323256.8034542,100,20,40,10,50,30,0,change_secondary
1747323256.8034542,100,20,40,10,50,30,0,change_secondary
1747323258.8154655,89,20,40,6,50,4294967266,0,reload
1747323258.8154655,89,20,40,6,50,4294967266,0,reload
1747323258.8154655,89,20,40,6,50,4294967266,0,reload
1747323263.8275766,25,20,40,2,45,29,0,reload
1747323263.8275766,25,20,40,2,45,29,0,reload
1747323264.829531,25,20,40,10,35,25,0,change_primary
1747323264.829531,25,20,40,10,35,25,0,change_primary
1747323267.8337176,4294967285,20,40,10,35,25,0,change_primary
1747323268.8354428,100,19,40,10,50,7,0,reload
1747323272.8472486,100,11,35,10,50,100,0,reload
1747323275.8559897,100,14,24,10,50,100,0,reload
1747323278.8640726,100,15,16,10,50,100,0,reload
1747323278.8640726,100,15,16,10,50,100,0,reload
1747323283.8734038,100,8,44,10,50,100,0,reload
1747323283.8734038,100,8,44,10,50,100,0,reload
1747323286.9148471,100,12,32,10,50,100,0,reload
1747323289.9185383,100,16,60,10,50,100,0,reload
1747323289.9185383,100,16,60,10,50,100,0,reload
1747323292.9262097,100,19,49,10,50,100,0,reload
1747323292.9262097,100,19,49,10,50,100,0,reload
1747323296.9319587,100,11,40,10,50,100,0,reload
1747323296.9319587,100,11,40,10,50,100,0,reload
1747323299.9364245,100,15,30,10,50,100,0,reload
1747323299.9364245,100,15,30,10,50,100,0,reload
1747323303.951885,100,9,21,10,50,100,0,reload
1747323303.951885,100,9,21,10,50,100,0,reload
1747323303.951885,100,9,21,10,50,100,1,reload
1747323305.9592502,100,7,21,10,50,100,0,reload
1747323305.9592502,100,7,21,10,50,100,0,reload
1747323308.9843974,91,19,3,10,50,100,0,change_secondary
1747323308.9843974,91,19,3,10,50,100,0,change_secondary
1747323318.0233912,29,17,3,3,40,73,0,reload
1747323329.0625987,100,19,40,10,50,29,0,hold
1747323339.0903902,78,14,20,10,50,78,1,hold
1747323349.1333044,4294967262,20,0,10,50,4294967262,0,hold
1747323359.1546853,4294967262,20,0,10,50,4294967262,0,hold
1747323366.212555,100,20,40,10,50,4294967262,0,change_primary
1747323366.212555,100,20,40,10,50,4294967262,0,change_secondary
1747323366.212555,100,20,40,10,50,4294967262,0,change_primary
1747323371.2269166,100,15,40,10,50,100,0,reload
1747323374.2313316,100,20,29,10,50,100,0,change_secondary
1747323378.2416186,100,20,29,10,40,100,0,change_primary
1747323378.2416186,100,20,29,10,40,100,0,change_primary
1747323378.2416186,100,20,29,10,40,100,0,change_primary
1747323381.2462547,18,7,29,9,40,100,1,reload
1747323381.2462547,18,7,29,9,40,100,1,reload
1747323389.2609918,100,10,40,10,50,100,0,reload
1747323389.2609918,100,10,40,10,50,100,0,reload
1747323394.2766404,78,1,25,10,50,100,1,reload
1747323394.2766404,78,1,25,10,50,100,1,reload
1747323401.3119943,100,20,40,10,50,4294967292,0,change_secondary
1747323402.313985,100,20,40,10,50,4294967292,0,change_primary
1747323402.313985,100,20,40,10,50,4294967292,0,change_primary
1747323402.313985,100,20,40,10,50,4294967292,0,change_secondary
1747323402.313985,100,20,40,10,50,4294967292,0,change_secondary
1747323403.3157916,100,20,40,10,50,100,0,change_secondary
1747323403.3157916,100,20,40,10,50,100,0,change_secondary
1747323406.325781,100,20,40,7,50,100,0,change_primary
1747323407.3277962,100,20,40,6,50,100,0,change_primary
1747323407.3277962,100,20,40,6,50,100,0,change_primary
1747323407.3277962,100,20,40,6,50,100,0,change_secondary
1747323408.3290272,100,20,40,6,50,100,0,change_primary
1747323408.3290272,100,20,40,6,50,100,0,change_primary
1747323408.3290272,100,20,40,6,50,100,0,change_primary
